"","Latitude","Longitude","ml","Bearing"
"331",40.19,38.75,1.6,4.61841283406763
"332",41.24,43.96,1.6,4.5887280560927
"333",38.89,26.65,1.2,1.39103485995615
"334",35.74,30.08,1,0.459149314675622
"335",39.64,41.73,1.2,4.75375440423553
"336",40.91,27.54,1.3,1.87881116787631
"337",36.03,26.28,1,0.918637633885554
"338",41.89,41.9,1.2,4.45146373301498
"339",36.92,28.6,1.2,0.843592241843135
"340",36.94,28.58,1.6,0.849645891617549
"341",36.56,26.72,1.1,0.960604061173325
"342",36.29,27.32,1.2,0.872528385726174
"343",36.8,26.76,1,0.994328659808568
"344",36.61,27.6,1.1,0.895834819637812
"345",35.67,44.73,1.2,5.15855787012974
"346",36.34,27.85,1.1,0.830073241484306
"347",39.48,40.41,1,4.77088045783814
"348",40.83,29.72,1.1,2.08240944243621
"349",35.47,27.74,1.1,0.725337635532443
"350",35.43,27.68,1.2,0.726527546825997
"351",35.3,27.11,1.3,0.764021958789795
"352",40.75,34.02,1,3.91615778091678
"353",39.37,40.46,1,4.78888354437031
"354",40.73,30.95,1.6,2.32195430325776
"355",40.76,30.81,1.6,2.29193883501684
"356",41.34,30.7,1,2.45998155921402
"357",40.6,30.74,1.3,2.20091291613458
"358",40.67,31,2.6,2.31146290105419
"359",36.22,28.87,1.6,0.695489062247575
"360",36.42,28.68,2.6,0.749535255186601
"361",36.43,28.63,2.3,0.757257110011049
"362",36.37,28.88,1.1,0.71637797157624
"363",39.36,26.4,1.3,1.49266574475913
"364",35.8,26.59,1,0.866466709422682
"365",35.89,26.01,1.6,0.919366071412079
"366",35,26,1,0.818271979718466
"367",35.82,26.14,1.4,0.901807909837311
"368",36.77,26.23,1.3,1.0251356238072
"369",39.76,30.17,1.1,1.66093894118559
"370",39.89,30.49,2,1.75881616755932
"371",40.39,26.29,1.3,1.70448401091784
"372",37.4,27.16,1.2,1.06776336293871
"373",37.65,27.26,2.3,1.10833180513394
"374",37.81,26.95,1.3,1.15858168899478
"375",39.03,40.97,1.3,4.8411459321096
"376",40.58,27.12,1,1.77813007854549
"377",36.98,27.12,1.3,0.996890432229337
"378",41.09,33.01,1.7,3.37662390566425
"379",39.24,28.43,1.1,1.44493631537133
"380",41.8,26.55,1,1.99116119019017
"381",40.28,28.53,1.2,1.77427836980207
"382",38.51,26.55,1,1.31491740570945
"383",39.96,27.59,1.3,1.64483164961237
"384",39.99,27.36,2.7,1.64649195550999
"385",35.68,26.9,1.2,0.826835721497447
"386",37.25,35.65,1.4,5.48785672650612
"387",36.83,27.6,1.1,0.931803787404129
"388",39.6,28.64,1.3,1.55904138521499
"389",39.95,41.67,1.6,4.70964941528571
"390",36,29,1.1,0.648037451005505
"391",40.88,32.87,2.4,3.3342008208005
"392",36.58,35.85,1.6,5.58193243531464
"393",39.73,28.05,1,1.59182748275343
"394",38.27,39.16,1.1,4.99471415255334
"395",38.75,26.36,1.1,1.36807116445995
"396",36.75,44.47,1,5.06674149171141
"397",39.58,40.57,1.1,4.75546994055956
"398",39.6,40.6,1.2,4.75245088214352
"399",39.57,40.62,2.3,4.75735056689813
"400",38.57,26.29,2.2,1.33415654440431
"401",40.94,32.71,1,3.23734111821301
"402",38.27,38.99,1.2,5.00000953590738
"403",40.23,29.02,1.4,1.78981047264078
"404",35.64,27.18,1.4,0.798064461933602
"405",36.05,31.14,1.6,0.29822145411309
"406",35.64,27.28,1.3,0.789193312472149
"407",35.72,27.22,1.3,0.804485438683123
"408",35.77,27.45,1.3,0.789984444873016
"409",35.5,27.2,1,0.779361555089609
"410",35.35,27.56,1.1,0.728821619583323
"411",35.41,27.2,2.7,0.768768723943992
"412",36.52,34.34,1.4,5.8561293999639
"413",38.63,31.15,1,0.848384832330237
"414",39.29,41.21,1.6,4.80203888045723
"415",36.24,26.69,1.3,0.916900870296876
